,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
13286,Parking control methods and parking control devices,EP3644295B1,"WO, EP, US, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3644295B1/en,2021-08-04,https://patentimages.storage.googleapis.com/2e/12/88/a0e697037efbd1/EP3644295B1.pdf,26
13287,Object detection device and object detection method,EP3147629B1,"WO, EP, US, CN, JP, MX, RU",,"Nissan Motor Co., Ltd",https://patents.google.com/patent/EP3147629B1/en,2019-07-10,https://patentimages.storage.googleapis.com/ed/e7/5e/c7c52c74a3cba9/EP3147629B1.pdf,3
13288,Parking lot and destination association,WO2016121572A1,"WO, JP",,ìíß§í»ÔÑó³ñ»ãÒ?Þä,https://patents.google.com/patent/WO2016121572A1/en,2016-08-04,https://patentimages.storage.googleapis.com/da/64/af/eeb496c81245ec/WO2016121572A1.pdf,4
13289,Traffic signal timing estimation using a support vector regression model,US9746853B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US9746853B2/en,2017-08-29,https://patentimages.storage.googleapis.com/1c/2e/7e/c30437498ed968/US9746853.pdf,18
13290,Travel support device and travel support method,JP2016017758A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2016017758A/en,2016-02-01,https://patentimages.storage.googleapis.com/80/24/05/a5abf45d57ec7f/JP2016017758A.pdf,8
13291,Information presentation device and information presentation method,JP2015185088A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2015185088A/en,2015-10-22,https://patentimages.storage.googleapis.com/72/3b/31/f1cf6a66de066b/JP2015185088A.pdf,14
13292,"Travel history storage method, method for producing travel path model, method for estimating local position, and travel history storage device",US10860035B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10860035B2/en,2020-12-08,https://patentimages.storage.googleapis.com/aa/6c/70/a177e4a556dc08/US10860035.pdf,14
13293,Driving control method and driving control apparatus,CA3025643C,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/CA3025643C/en,2019-07-09,https://patentimages.storage.googleapis.com/c7/aa/7f/70bf6948251fd8/CA3025643C.pdf,14
13294,Method and system of assisting a driver of a vehicle,US9227635B1,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US9227635B1/en,2016-01-05,https://patentimages.storage.googleapis.com/44/13/c9/f4ecc360f199ba/US9227635.pdf,43
13295,"Vehicle position estimation device, vehicle position estimation method",EP3343173B1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3343173B1/en,2020-07-22,https://patentimages.storage.googleapis.com/48/cd/d9/68c383d96868cb/EP3343173B1.pdf,33
13296,Map data correcting method and device,US10989560B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10989560B2/en,2021-04-27,https://patentimages.storage.googleapis.com/0a/6d/35/d031071ec6bf1c/US10989560.pdf,33
13297,Travel Assistance Method and Travel Assistance Devi,US20200278685A1,"WO, EP, US, CN, JP, BR, CA, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US20200278685A1/en,2020-09-03,https://patentimages.storage.googleapis.com/9f/18/25/0c7ae6d78e70ad/US20200278685A1.pdf,33
13298,Engine start control system for hybrid vehicle,WO2009109831A1,WO,,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/WO2009109831A1/en,2009-09-11,https://patentimages.storage.googleapis.com/41/6a/69/47d615f5023556/WO2009109831A1.pdf,6
13299,Movement prediction method for travel assistance device and movement prediction device,EP3627470A1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3627470A1/en,2020-03-25,https://patentimages.storage.googleapis.com/0e/68/04/f0797a42344dcb/EP3627470A1.pdf,6
13300,Information presentation device and information presentation method,JP2015185085A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2015185085A/en,2015-10-22,https://patentimages.storage.googleapis.com/60/83/65/0af89faa44f26a/JP2015185085A.pdf,8
13301,The manufacture method of substrate with the driving liquid crystal orientation film used for liquid crystal display element of horizontal component of electric field,CN107473969A,"WO, CN, JP, KR, TW",,ìí?ûù?Íï?ñ»ãÒ?Þä,https://patents.google.com/patent/CN107473969A/en,2017-12-15,https://patentimages.storage.googleapis.com/4b/a0/ff/7e92bf7081c326/CN107473969A.pdf,8
13302,Autonomous vehicle operational management with visual saliency perception control,US10901417B2,"WO, EP, US, CN, JP, RU",,"Nissan North America, Inc.",https://patents.google.com/patent/US10901417B2/en,2021-01-26,https://patentimages.storage.googleapis.com/85/b5/7a/2a80ee040039b1/US10901417.pdf,17
13303,Vehicle seat,EP3296151B1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3296151B1/en,2019-12-11,https://patentimages.storage.googleapis.com/67/6b/e1/184874fbe418a1/EP3296151B1.pdf,13
13304,Traveling assistance method and driving control device,US10787173B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10787173B2/en,2020-09-29,https://patentimages.storage.googleapis.com/e9/9b/19/3c4ee06fdec891/US10787173.pdf,14
13305,"Method for adjusting a switch position, and operating device for a  vehicle",EP3521107B1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3521107B1/en,2021-11-03,https://patentimages.storage.googleapis.com/2b/6d/35/90ceaae8751129/EP3521107B1.pdf,14
13306,"
  load management system for self-guided vehicl",BR112015002187B1,"WO, EP, US, CN, JP, KR, BR, MX, MY, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/BR112015002187B1/en,2021-01-19,https://patentimages.storage.googleapis.com/fe/1f/0f/52da89a2cdde64/BR112015002187B1.pdf,14
13307,Mode switching control device of hybrid vehicle,CN104837699A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104837699A/en,2015-08-12,https://patentimages.storage.googleapis.com/c1/fc/5e/5a9fb15f61073c/CN104837699A.pdf,6
13308,Vehicle tutorial system and method for sending vehicle tutorial to tutorial manager device,US10325519B2,"WO, US",,"Nissan North America, Inc.",https://patents.google.com/patent/US10325519B2/en,2019-06-18,https://patentimages.storage.googleapis.com/cd/bd/86/cea11da4f2d352/US10325519.pdf,19
13309,Kinematic path prediction of vehicles on curved paths,US9620015B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US9620015B2/en,2017-04-11,https://patentimages.storage.googleapis.com/58/58/be/2722f95b82c1c7/US9620015.pdf,36
13310,Vehicle route selection apparatus and vehicle route selection method,JP2015148533A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2015148533A/en,2015-08-20,https://patentimages.storage.googleapis.com/32/1f/08/373363ba1263dc/JP2015148533A.pdf,36
13311,Control method and control device for autonomous vehic,US20200298890A1,"WO, EP, US, CN",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US20200298890A1/en,2020-09-24,https://patentimages.storage.googleapis.com/ae/eb/92/3156bbef22fe1b/US20200298890A1.pdf,36
13312,Vehicle display system having a rationale indicator,US10464473B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US10464473B2/en,2019-11-05,https://patentimages.storage.googleapis.com/a6/44/7c/5edbdabee88ff2/US10464473.pdf,11
13313,Driving assistance method and driving assistance device,CA3077128A1,"WO, EP, US, CN, JP, KR, BR, CA, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/CA3077128A1/en,2019-04-04,/patent/CA3077128A1/fr,11
13314,Parking control method and parking control apparatus,US10773714B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10773714B2/en,2020-09-15,https://patentimages.storage.googleapis.com/34/25/47/2f3900a511a759/US10773714.pdf,13
13315,Control device for hybrid vehicle,CN104797475A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104797475A/en,2015-07-22,https://patentimages.storage.googleapis.com/42/71/1d/7cc4c7dda37fc8/CN104797475A.pdf,7
13316,Vehicle brake apparatus and method,US8201896B2,"EP, US, CN, JP, DE",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US8201896B2/en,2012-06-19,https://patentimages.storage.googleapis.com/92/84/59/311c6e65f22272/US8201896.pdf,25
13317,Drive control method and drive control apparatus,CA3029786C,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/CA3029786C/en,2020-08-18,/patent/CA3029786C/fr,25
13318,"
  A charge managerial system and a charge controlling method of an automatic guided vehicle
",BR112015002359A2,"WO, EP, US, CN, JP, KR, BR, MX, MY",,Nissan Motor,https://patents.google.com/patent/BR112015002359A2/en,2019-11-26,https://patentimages.storage.googleapis.com/8f/27/2a/947d9607cf4ccf/BR112015002359A2.pdf,25
13319,Apparatus for improving steering sensitivity of vehicle,CN102869556B,"WO, EP, US, CN, JP, BR, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN102869556B/en,2015-07-01,https://patentimages.storage.googleapis.com/f6/04/08/a316a082253eba/CN102869556B.pdf,25
13320,Hybrid vehicle mode switch control device,CN104736406A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104736406A/en,2015-06-24,https://patentimages.storage.googleapis.com/e9/a0/ed/82307c4b0067be/CN104736406A.pdf,8
13321,Continual planning and metareasoning for controlling an autonomous vehicle,US10836405B2,"WO, US",,"Nissan North America, Inc.",https://patents.google.com/patent/US10836405B2/en,2020-11-17,https://patentimages.storage.googleapis.com/d3/c0/f9/3e15d2d426f260/US10836405.pdf,123
13322,"Ride-sharing management method, ride-sharing management device, and vehic",US20200226497A1,"WO, EP, US, CN, JP, BR",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US20200226497A1/en,2020-07-16,https://patentimages.storage.googleapis.com/18/e6/78/65385a14604ca9/US20200226497A1.pdf,123
13323,Vehicle shade assembly,US10639993B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US10639993B2/en,2020-05-05,https://patentimages.storage.googleapis.com/8e/33/74/e991afe5d9de36/US10639993.pdf,39
13324,Drive power distribution control device for four wheel drive vehicle,CN102481844B,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN102481844B/en,2015-01-14,https://patentimages.storage.googleapis.com/7f/67/e0/99b541d74a2137/CN102481844B.pdf,24
13325,Hybrid vehicle,CN105050844A,"WO, EP, US, CN, JP, KR",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN105050844A/en,2015-11-11,https://patentimages.storage.googleapis.com/77/d8/6d/c1d5fed7ddcf33/CN105050844A.pdf,27
13326,The control method of automatic transmission and automatic transmission,CN108027052A,"WO, EP, US, CN, JP, KR",,Ê¥÷åÊ¦ñ»ãÒ?Þä,https://patents.google.com/patent/CN108027052A/en,2018-05-11,https://patentimages.storage.googleapis.com/93/fc/61/89cda7ca380dd3/CN108027052A.pdf,27
13327,Battery unit of automated guided vehicle,US9698393B2,"WO, EP, US, CN, JP, KR, BR, MX, MY, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US9698393B2/en,2017-07-04,https://patentimages.storage.googleapis.com/1e/22/f8/3e32f31e75fc90/US9698393.pdf,23
13328,The control device of motor vehicle driven by mixed power,CN106103225A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN106103225A/en,2016-11-09,https://patentimages.storage.googleapis.com/28/1e/87/86457d9349b9a1/CN106103225A.pdf,7
13329,Autonomous vehicle remote support mapping interface,US10591912B2,"WO, EP, US, CN, JP, BR, MX",,"Nissan North America, Inc.",https://patents.google.com/patent/US10591912B2/en,2020-03-17,https://patentimages.storage.googleapis.com/90/c2/56/d53b54a09d8178/US10591912.pdf,14
13330,The control device of motor vehicle driven by mixed power,CN106103224A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN106103224A/en,2016-11-09,https://patentimages.storage.googleapis.com/4a/57/54/65aa1b444e076a/CN106103224A.pdf,7
13331,Creep cut-off control device for electric vehicle,CN102958744B,"WO, EP, US, CN, JP, BR, MX, MY, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN102958744B/en,2015-02-18,https://patentimages.storage.googleapis.com/44/21/0c/ce640572faeaea/CN102958744B.pdf,4
13332,Vehicle position determination apparatus and vehicle position determination method,US10145692B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10145692B2/en,2018-12-04,https://patentimages.storage.googleapis.com/f2/9a/40/29a8b77870787c/US10145692.pdf,21
13333,Self-position estimation method and self-position estimation device,CA3032068C,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/CA3032068C/en,2020-01-14,/patent/CA3032068C/fr,21
13334,Vehicle control device and vehicle control method,CN105555592A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN105555592A/en,2016-05-04,https://patentimages.storage.googleapis.com/af/79/6b/09a36e172645e6/CN105555592A.pdf,3
13335,Engines start control appliance,CN201013509Y,"EP, US, CN, JP, KR",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN201013509Y/en,2008-01-30,https://patentimages.storage.googleapis.com/b9/c6/06/2559caa59f1afa/CN201013509Y.pdf,3
13336,Battery charging management system for automated guided vehicle and battery charging management method for automated guided vehicle,US9325192B2,"WO, EP, US, CN, JP, BR, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US9325192B2/en,2016-04-26,https://patentimages.storage.googleapis.com/26/36/95/f9ec1c882e2c35/US9325192.pdf,18
13337,Vehicle control system based on social place detection,US11119502B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US11119502B2/en,2021-09-14,https://patentimages.storage.googleapis.com/31/8e/ee/0a13ced59bdca8/US11119502.pdf,50
13338,Vehicular steering control device and vehicular steering control method,JP2015168369A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2015168369A/en,2015-09-28,https://patentimages.storage.googleapis.com/69/aa/71/154f3c62cfb2b5/JP2015168369A.pdf,13
13339,Power plant for vehicle,CN104812605A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104812605A/en,2015-07-29,https://patentimages.storage.googleapis.com/b2/d2/be/42ffb216f4f901/CN104812605A.pdf,13
13340,Device for improving vehicle behavior when steering,CN102858610B,"WO, EP, US, CN, JP, BR, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN102858610B/en,2015-05-06,https://patentimages.storage.googleapis.com/1c/5a/14/bacfec1d0408bc/CN102858610B.pdf,6
13341,Vehicle display device,CN102971177B,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN102971177B/en,2015-06-10,https://patentimages.storage.googleapis.com/e6/d3/fe/b9b3b77354c7d0/CN102971177B.pdf,6
13342,Driving assisted vehicle control method and control syst,US20210300392A1,"WO, EP, US, CN, JP",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US20210300392A1/en,2021-09-30,https://patentimages.storage.googleapis.com/a7/20/75/47445b541030bc/US20210300392A1.pdf,6
13343,"Method for controlling travel of vehicle, and device for controlling travel of vehicle",US11124163B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US11124163B2/en,2021-09-21,https://patentimages.storage.googleapis.com/ff/51/dc/3ef4c39f902915/US11124163.pdf,52
13344,Self-position estimating device and self-position presumption method,CN107924192A,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN107924192A/en,2018-04-17,https://patentimages.storage.googleapis.com/74/fa/a1/3a25b2cd07176a/CN107924192A.pdf,8
13345,Travel control method and travel controlling system,CN109476308A,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN109476308A/en,2019-03-15,https://patentimages.storage.googleapis.com/80/0e/82/2d58af0b4d8db4/CN109476308A.pdf,8
13346,"Driving plan device, travel support device, and driving plan method",EP3327695A1,"WO, EP, US, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3327695A1/en,2018-05-30,https://patentimages.storage.googleapis.com/ed/27/61/058d86346452a4/EP3327695A1.pdf,8
13347,Hybrid vehicle drive device,CN104870228A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104870228A/en,2015-08-26,https://patentimages.storage.googleapis.com/ef/d8/da/917cfc9738c66d/CN104870228A.pdf,11
13348,Fuel cell vehicle system and its control method,CN108473058A,"WO, EP, US, CN, JP, BR, CA",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN108473058A/en,2018-08-31,https://patentimages.storage.googleapis.com/69/70/d2/201f5315304b35/CN108473058A.pdf,12
13349,Oil pressure control device and exhausting method thereof,CN102135144B,"CN, JP, KR",,Ê¥÷åÊ¦ñ»ãÒ?Þä,https://patents.google.com/patent/CN102135144B/en,2015-01-21,https://patentimages.storage.googleapis.com/d8/1d/e3/4c1346052db2b4/CN102135144B.pdf,6
13350,Automobile engine control using electronic key system,CN1499061A,"EP, US, CN, DE",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN1499061A/en,2004-05-26,https://patentimages.storage.googleapis.com/3e/49/81/4d3dbfa57e8ebf/CN1499061A.pdf,6
13351,Control device for automatic transmission,CN104968550A,"WO, EP, US, CN, JP, KR, MX, RU",,Ê¥÷åÊ¦ñ»ãÒ?Þä,https://patents.google.com/patent/CN104968550A/en,2015-10-07,https://patentimages.storage.googleapis.com/f0/80/0f/e390d16b3171e3/CN104968550A.pdf,8
13352,"
  Device for preventing the deviation of a motor vehicle from its lan",DE102004023449A1,"US, JP, DE",,"Nissan Motor Co., Ltd., Yokohama",https://patents.google.com/patent/DE102004023449A1/en,2005-02-10,https://patentimages.storage.googleapis.com/6e/7c/60/95a55e69d3c173/DE102004023449A1.pdf,8
13353,The determination method and decision maker of pedestrian,CN108604415A,"WO, EP, US, CN, JP, BR, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN108604415A/en,2018-09-28,https://patentimages.storage.googleapis.com/79/4a/43/f3380a1327ad7f/CN108604415A.pdf,11
13354,Vehicle stop position setting apparatus and method,US10604150B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10604150B2/en,2020-03-31,https://patentimages.storage.googleapis.com/a8/80/2e/4e1d35ba088462/US10604150.pdf,17
13355,Vehicular notification device,US10137828B1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10137828B1/en,2018-11-27,https://patentimages.storage.googleapis.com/29/81/00/cba22a94749d0c/US10137828.pdf,17
13356,Control device for hybrid vehicle,CN103987602A,"WO, EP, US, CN, JP, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN103987602A/en,2014-08-13,https://patentimages.storage.googleapis.com/d9/d5/2b/4ddcbdd2fe60c4/CN103987602A.pdf,7
13357,Cross-country vehicle self-help traction devi,CN206277902U,CN,,?ñ¶ìí?Ñ©?êóùÚÍëÞÉ,https://patents.google.com/patent/CN206277902U/en,2017-06-27,https://patentimages.storage.googleapis.com/6d/55/b9/a1d2d0cf87c65b/CN206277902U.pdf,7
13358,"Scene determination device, travel assistance apparatus, and scene determination method",US10366608B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10366608B2/en,2019-07-30,https://patentimages.storage.googleapis.com/3a/d7/09/5de8154b310862/US10366608.pdf,9
13359,Device for controlling hybrid vehicle,CN105579313A,"WO, EP, US, CN, JP, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN105579313A/en,2016-05-11,https://patentimages.storage.googleapis.com/b1/c3/44/9668093f22ded5/CN105579313A.pdf,7
13360,Hybrid vehicle control device,CN104884325A,"WO, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104884325A/en,2015-09-02,https://patentimages.storage.googleapis.com/dd/6d/d9/5109b644c83458/CN104884325A.pdf,6
13361,Hybrid vehicle control device,CN104870284A,"WO, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104870284A/en,2015-08-26,https://patentimages.storage.googleapis.com/c7/7e/bf/3eff4ac386a4da/CN104870284A.pdf,7
13362,Hybrid vehicle control device,CN104884322A,"WO, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104884322A/en,2015-09-02,https://patentimages.storage.googleapis.com/c1/87/81/7333994fdcc11e/CN104884322A.pdf,8
13363,Hybrid vehicle,JP2011031659A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2011031659A/en,2011-02-17,https://patentimages.storage.googleapis.com/0c/05/ae/645441fa948da8/JP2011031659A.pdf,8
13364,Self-position estimation method and self-position estimation device,EP3521962B1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3521962B1/en,2021-07-21,https://patentimages.storage.googleapis.com/5b/21/67/4fd47417a0c5c4/EP3521962B1.pdf,7
13365,Method and system of assisting a driver of a vehicle,US9586593B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US9586593B2/en,2017-03-07,https://patentimages.storage.googleapis.com/f2/f5/f3/3e64cb0eca6754/US9586593.pdf,16
13366,Mounting structure of engine,CN100357125C,"US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN100357125C/en,2007-12-26,https://patentimages.storage.googleapis.com/1a/3b/21/96945f6bcbc449/CN100357125C.pdf,9
13367,Hybrid vehicle control device,CN104884324A,"WO, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104884324A/en,2015-09-02,https://patentimages.storage.googleapis.com/2c/18/ce/b106266052e628/CN104884324A.pdf,8
13368,Structured multivariate contextual vehicle operation with integrated semiotic control,US10543828B2,US,,"Nissan North America, Inc.",https://patents.google.com/patent/US10543828B2/en,2020-01-28,https://patentimages.storage.googleapis.com/ac/de/fc/0540f1ff95aa40/US10543828.pdf,24
13369,Vehicle travel control method and vehicle travel control device,US10705530B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US10705530B2/en,2020-07-07,https://patentimages.storage.googleapis.com/cc/d2/f1/b245d3cd8a45ed/US10705530.pdf,27
13370,Vehicle travel control method and vehicle travel control device,EP3410418B1,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3410418B1/en,2020-04-15,https://patentimages.storage.googleapis.com/c5/4f/09/a5d48b39b72a87/EP3410418B1.pdf,16
13371,Vehicle-drive control device and vehicle-drive control method,CN104918836A,"WO, EP, US, CN, JP, MX, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104918836A/en,2015-09-16,https://patentimages.storage.googleapis.com/09/3e/95/502446ad02265c/CN104918836A.pdf,7
13372,Idle stop control device for vehicle equipped with automatic manual transmission,CN104619974A,"WO, EP, US, CN, JP",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN104619974A/en,2015-05-13,https://patentimages.storage.googleapis.com/16/34/f0/12489d8ac68891/CN104619974A.pdf,7
13373,"Hybrid vehicle management system, hybrid vehicle control apparatus, and hybrid vehicle control method",EP2808213B1,"WO, EP, US, CN, JP",,"Nissan Motor Co., Ltd",https://patents.google.com/patent/EP2808213B1/en,2018-08-29,https://patentimages.storage.googleapis.com/a6/5b/fb/8e0ec1f9751b68/EP2808213B1.pdf,7
13374,Information display device and information display method,JP2017069852A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2017069852A/en,2017-04-06,https://patentimages.storage.googleapis.com/69/2c/19/218df112f3c31d/JP2017069852A.pdf,5
13375,Turning control apparatus and method for automotive vehicle,CN1616271A,"EP, US, CN, JP, KR, DE",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN1616271A/en,2005-05-18,https://patentimages.storage.googleapis.com/c1/42/f1/f86067fea9a129/CN1616271A.pdf,5
13376,Method and apparatus for controlling travel of driving-assisted vehicle,EP3674154B1,"WO, EP, US, CN, JP, KR, BR, CA, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3674154B1/en,2021-10-27,https://patentimages.storage.googleapis.com/45/8b/db/370e1a4a62600c/EP3674154B1.pdf,5
13377,Driving assistance method and driving assistance device,CN110914127A,"WO, EP, US, CN, JP, KR, BR, CA, RU",,ìí?í»??ñ»ãÒ?Þä,https://patents.google.com/patent/CN110914127A/en,2020-03-24,https://patentimages.storage.googleapis.com/d4/40/92/b11df0d05717f3/CN110914127A.pdf,5
13378,Parking control method and parking control device,US11124180B2,"WO, EP, US, CN, JP, KR, BR, CA, MX, RU",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US11124180B2/en,2021-09-21,https://patentimages.storage.googleapis.com/9f/f8/06/87adeb21041b88/US11124180.pdf,23
13379,Steering control device,EP2902302B1,"WO, EP, US, CN, JP",,"Nissan Motor Co., Ltd",https://patents.google.com/patent/EP2902302B1/en,2017-02-01,https://patentimages.storage.googleapis.com/55/ea/1b/da18704bd0721d/EP2902302B1.pdf,23
13380,Stop line detection system for vehicle,JP2007041916A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2007041916A/en,2007-02-15,https://patentimages.storage.googleapis.com/f3/df/8b/da803e112581ac/JP2007041916A.pdf,7
13381,Vehicular running control apparatus and vehicular running control method,US8612109B2,"EP, US",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/US8612109B2/en,2013-12-17,https://patentimages.storage.googleapis.com/0f/8b/5e/72612d86acb675/US8612109.pdf,14
13382,Driving support apparatus,JP2005253590A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2005253590A/en,2005-09-22,https://patentimages.storage.googleapis.com/73/6a/3a/acecea86102c1f/JP2005253590A.pdf,14
13383,Joining method using self-piercing rivet and die for rivet joining,JP2009142889A,JP,,Nissan Motor Co Ltd,https://patents.google.com/patent/JP2009142889A/en,2009-07-02,https://patentimages.storage.googleapis.com/60/f1/39/2364cb46b33576/JP2009142889A.pdf,2
13384,Method and device for controlling automatic driving vehicle,EP3778328A1,"WO, EP, US, CN, JP",,"Nissan Motor Co., Ltd.",https://patents.google.com/patent/EP3778328A1/en,2021-02-17,https://patentimages.storage.googleapis.com/02/cf/9a/82e13cd628f649/EP3778328A1.pdf,2
